Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,library
prerank,Inflammatory Response,0.34875669049466324,1.5912653607801552,0.0,0.006592663548768806,0.112,78/197,27.25%,RIPK2;LYN;IRAK2;CSF1;ICAM1;MYC;CCL20;IL15RA;TNFSF9;CD55;BEST1;ICAM4;IL15;EBI3;AHR;IRF1;OLR1;NMI;CLEC5A;OSM;ADRM1;GNA15;RHOG;NOD2;OPRK1;CYBB;EMP3;C3AR1;TAPBP;IL1B;P2RX4;TNFRSF9;PLAUR;CD40;NDP;LIF;IL18;SERPINE1;EIF2AK2;BST2;CXCL6;SLC7A1;MSR1;P2RY2;STAB1;OSMR;LTA;RGS1;CCL7;GNAI3;SCN1B;IL1A;C5AR1;EREG;KCNMB2;ADM;IL10;KIF1B;TACR3;IL10RA;MEFV;CCRL2;EDN1;CXCL11;HRH1;TLR1;PIK3R5;CD70;SELL;LY6E;CMKLR1;TIMP1;RELA;SLC11A2;NAMPT;CCL17;ATP2C1;NLRP3,MSigDB_Hallmark_2020
prerank,DNA Repair,0.3544143108545534,1.534868200476494,0.0014124293785310734,0.011797397929375758,0.202,56/140,26.20%,NME1;POLR2K;TAF9;SDCBP;TAF6;ADA;SF3A3;BOLA2;GTF2B;TAF12;POLR2G;ZNF707;RRM2B;ITPA;POLR3C;NT5C;BCAP31;STX3;VPS28;ADRM1;APRT;CANT1;DCTN4;TAF10;NUDT9;RAD51;UMPS;GTF2H1;POLE4;NME4;SUPT4H1;GUK1;PRIM1;POLR2D;ZWINT;POLD4;TSG101;DAD1;POLA2;RFC4;SSRP1;SAC3D1;PDE6G;ERCC3;SEC61A1;NME3;RFC3;UPF3B;CSTF3;POLR1C;NPR2;DDB1;NCBP2;AK1;PCNA;TK2,MSigDB_Hallmark_2020
prerank,Complement,0.3351472544678172,1.515664535284316,0.0013404825737265416,0.01369245506282752,0.239,58/195,17.15%,ME1;DGKG;ITGAM;MMP12;LYN;CTSC;USP14;S100A9;STX4;PSMB9;CD55;KYNU;ADAM9;CASP4;FN1;SRC;MAFF;FCER1G;KIF2A;HSPA1A;ANXA5;CASP1;IRF1;OLR1;LRP1;CDK5R1;C1QC;GRB2;RNF4;RHOG;RABIF;TNFAIP3;XPNPEP1;ERAP2;GMFB;GPD2;DUSP5;CASP5;KLK1;EHD1;PLEK;C1QA;PLAUR;VCPIP1;SERPINE1;PRKCD;PHEX;CTSB;PPP4C;CXCL1;C9;LIPA;PIM1;MMP13;CTSD;GNAI3;CTSS;CR2,MSigDB_Hallmark_2020
prerank,p53 Pathway,0.33161201416600405,1.4969922460953538,0.0013513513513513514,0.015551924268890514,0.271,49/189,16.77%,SLC7A11;GPX2;ABHD4;PVT1;SLC3A2;RHBDF2;OSGIN1;GM2A;SFN;TM4SF1;DNTTIP2;CDKN2B;VWA5A;NUPR1;IER5;HMOX1;ADA;TNFSF9;HINT1;IFI30;ABCC5;KLF4;TCN2;TAP1;S100A10;IER3;CDKN2A;TRIB3;TPD52L1;IRAK1;CASP1;PLK3;CDK5R1;BAK1;S100A4;HSPA4L;DRAM1;RAP2B;RNF19B;LIF;DDIT3;PERP;BMP2;NDRG1;HRAS;SOCS1;RRAD;UPP1;CTSD,MSigDB_Hallmark_2020
prerank,Hypoxia,0.3096923376461724,1.4005887569532767,0.006510416666666667,0.03978649400410824,0.568,49/191,16.45%,ENO1;ANXA2;AK4;ALDOA;BCAN;RRAGD;HEXA;SLC2A1;P4HA2;EFNA3;VLDLR;TPD52;GLRX;HMOX1;GAPDH;DTNA;JMJD6;PGK1;GBE1;PPFIA4;PDK1;IER3;PFKP;GCNT2;MAFF;MIF;TES;KIF5A;KDELR3;SAP30;SLC2A5;STC2;S100A4;TNFAIP3;XPNPEP1;DPYSL4;HK2;AMPD3;CA12;PLAUR;SERPINE1;DDIT3;NDRG1;ANKZF1;GAA;GPI;SCARB1;LDHA;PIM1,MSigDB_Hallmark_2020
prerank,PI3K/AKT/mTOR  Signaling,0.32920899400507964,1.3844929299842046,0.03784570596797671,0.044406770525820656,0.624,31/104,18.39%,SQSTM1;SFN;SLC2A1;ACACA;RPS6KA3;PDK1;CFL1;PRKAA2;CLTC;GNGT1;TRIB3;MKNK1;RPS6KA1;TSC2;TBK1;RIT1;GRB2;SMAD2;THEM4;IL2RG;DDIT3;PLCB1;HRAS;RPTOR;ACTR3;TRAF2;PRKAG1;ARPC3;CDK1;CDK4;MAP3K7,MSigDB_Hallmark_2020
prerank,Wnt-beta Catenin Signaling,0.38150504990894035,1.3320099547295279,0.09917355371900827,0.06934974925339495,0.775,15/42,18.21%,MYC;LEF1;HDAC11;TCF7;AXIN1;DVL2;HDAC5;AXIN2;NCSTN;KAT2A;CUL1;WNT6;NKD1;DKK4;PSEN2,MSigDB_Hallmark_2020
prerank,Myogenesis,-0.2610631602267101,-1.3284704308903845,0.01639344262295082,0.14235488763270374,0.43,64/198,20.89%,ENO3;GADD45B;FXYD1;CAMK2B;SORBS3;BAG1;MYOM2;TNNI1;APP;LDB3;MYH3;VIPR1;APLNR;NOTCH1;CHRNB1;AKT2;LAMA2;MYL3;EIF4A2;CASQ2;CTF1;AGL;MYOZ1;PYGM;COL15A1;PGAM2;NAV2;DMPK;CKMT2;IGFBP7;CLU;IGF1;EFS;OCEL1;CKB;CRAT;TCAP;SPEG;MYH11;CDKN1A;KLF5;APOD;COX7A1;BDKRB2;SVIL;GJA5;AEBP1;GNAO1;MYLK;CDH13;MYLPF;TAGLN;NOS1;MEF2A;SORBS1;SGCA;MEF2C;MYH4;CACNA1H;SPARC;FHL1;MYL1;DMD;TNNT2,MSigDB_Hallmark_2020
prerank,Androgen Response,0.32147278253061,1.3194418383677333,0.05142857142857143,0.07428410435566575,0.807,34/96,22.43%,RRP12;ITGAV;GSR;ACSL3;VAPA;TPD52;UBE2I;RPS6KA3;TMEM50A;SCD;SRP19;STK39;SMS;ELOVL5;CENPN;ADRM1;TNFAIP8;PA2G4;XRCC6;DHCR24;ACTN1;NDRG1;KRT8;B2M;GNAI3;SEC24D;CCND3;SLC38A2;SRF;FKBP5;NGLY1;MERTK;GPD1L;KLK2,MSigDB_Hallmark_2020
prerank,TGF-beta Signaling,-0.31445111466748726,-1.281446539414824,0.09401709401709402,0.16522818144216186,0.566,22/54,26.49%,ID2;PPM1A;CDH1;ENG;SMAD6;BMPR2;SMAD7;LTBP2;TJP1;CDKN1C;FURIN;BMPR1A;SKIL;PMEPA1;KLF10;LEFTY2;HIPK2;TRIM33;ID3;CDK9;APC;SKI,MSigDB_Hallmark_2020
